Tipo,Município Beneficiado,Proponente,Tipo,Data de seleção,Previsto até e pós 2010,Estágio
Saneamento,Mogi Guaçu,Município,Adequação do SES - obras na ETE do Córrego do Ipê,fev/07," R$ 5.000.000,00 ",Em Obra
Saneamento,Mogi Guaçu,Município,"Ampliação do SAA no Bairro Chácara Alvorada - poço artesiano, linha de recalque",1/8/2010," R$ 150.000,00 ",Em Obra
Saneamento,Mogi Guaçu,Município,Ampliação do SES na margem esquerda do Rio Mogi Guaçu - estação elevatória de esgotos e linha de recalque,fev/07," R$ 2.622.800,00 ",Em Obra
Saneamento,Mogi Guaçu,Município,Ampliação do SES no Bairro Chácara Alvorada - rede coletora,1/8/2010," R$ 500.000,00 ",Em Obra
Saneamento,Mogi Guaçu,Município,"Ampliação do SES nos distritos industriais - rede coletora, coletor-tronco, estações elevatórias de esgoto",fev/07," R$ 4.820.000,00 ",Em Obra
Saneamento,Mogi Mirim,Município,Adequação do SES - revitalização da ETE no Bairro Jardim Planalto,1/8/2010," R$ 318.400,00 ",Em licitação da obra
Saneamento,Mogi Mirim,Município,"Ampliação do SAA no Bairro Morro Vermelho - reservatório, interligações",1/8/2010," R$ 1.891.600,00 ",Em Obra
Saneamento,Mongaguá,Sabesp,Ampliação do SES na sede municipal - Sistema A,set/09," R$ 152.834.900,00 ",Em Contratação
Saneamento,Mongaguá,Município,Resíduos Sólidos - construção e equipamentos para galpão de triagem para catadores,ago/08," R$ 193.000,00 ",Ação Preparatória
Saneamento,Monte Alto,Sabesp,"Ampliação do SES, com execução de coletor-tronco, emissário e ETE - Córrego do Tijuco e Rio Turvo",fev/07," R$ 8.685.700,00 ",Em Obra
Saneamento,Monte Mor,Sabesp,"Ampliação do SAS, com melhorias na ETA e implantação do Sistema Capivari, na sede municipal",1/8/2010," R$ 3.200.000,00 ",Em Obra
Saneamento,Monte Mor,Sabesp,Ampliação do SES - bairros Centro e São Clemente,1/8/2010," R$ 24.300.000,00 ",Em Obra
Saneamento,Monte Mor,Sabesp,"Ampliação do SES nos bairros de Água Choca, Panorama, Campos dos Urados, Jd. Paulista e Centro - rede coletora de esgotamento sanitário",1/8/2010," R$ 1.600.000,00 ",Ação Preparatória
Saneamento,Nova Odessa,Município,"Ampliação do SES na sede municipal - 2ª fase ETE, corpo receptor Ribeirão Quilombo e coletores-tronco dos córregos Bassra e Represa",6/7/2010," R$ 4.627.200,00 ",Em Obra
Saneamento,Nova Odessa,Município,Ampliação do SES sede municipal,6/7/2010," R$ 3.601.300,00 ",Em Obra
Saneamento,Nova Odessa,Município,Drenagem - ampliação do sistema de drenagem urbana na Bacia do Ribeirão Quilombo,6/9/2010," R$ 1.022.600,00 ",Ação Preparatória
Saneamento,Nova Odessa,Município,Implantação de SES na sede municipal - execução da ETE Central,fev/07," R$ 9.626.000,00 ",Em Obra
Saneamento,Osasco,Sabesp,"Ampliação do SES na Bacia TO 21, interligações industriais - Av. João Batista, Av. Mal. Rondon, Av. dos Autonomistas, Av. Mal Rondon, Rua da Estação",1/8/2010," R$ 3.354.000,00 ",Em licitação da obra
Saneamento,Osasco,Sabesp,"Ampliação do SES na Bacia TO 21 - Golf Club, na Região Sul de Osasco, próximo à Av. Bussocaba",fev/07," R$ 4.690.500,00 ",Em Obra
Saneamento,Osasco,Sabesp,"Ampliação do SES nos bairros Jardim Novo Osasco, Jardim Santo Antonio, Jardim Iracema - coletor-tronco na Bacia TO 19",1/8/2010," R$ 1.060.900,00 ",Em licitação da obra
Saneamento,Osasco,Município,"Drenagem - canalização do Córrego João Alves, serviços de drenagem e pavimentação asfáltica da Av. Nova Granada",6/9/2010," R$ 32.668.900,00 ",Em Contratação
Saneamento,Osasco,Município,Drenagem - execução de galerias e canalização do Córrego Rico,6/9/2010," R$ 9.506.300,00 ",Em Contratação
Saneamento,Osasco,Sabesp,Implantação do SAA no Setor Mutinga - rede de abastecimento de água - Rochdale e Flamenguinho,1/8/2010," R$ 2.900.000,00 ",Em licitação da obra
Saneamento,Osasco,Sabesp,Implantação do Setor Conceição - 1ª etapa - SAA,fev/07," R$ 8.916.000,00 ",Em Obra
Saneamento,Osasco,Município,"Saneamento integrado e urbanização - Colina d’Oeste, Morro do Socó",6/7/2010," R$ 58.406.200,00 ",Em Obra
Saneamento,Osasco,Município,Saneamento integrado e urbanização - Favela dos Portais,6/7/2010," R$ 31.097.700,00 ",Em Obra
Saneamento,Osasco,Município,Saneamento integrado e urbanização de favelas - Morro do Sabão,6/7/2010," R$ 23.763.400,00 ",Em Obra
Saneamento,Ourinhos,Município,Drenagem - canalização de córregos e execução de galerias de águas pluviais,fev/07," R$ 55.945.000,00 ",Em Obra
Saneamento,Paulínia,Sabesp,Ampliação do SAA - construção de reservatório de abastecimento de água no Parque da Represa e ampliação da ETA na sede municipal,1/8/2010," R$ 6.720.000,00 ",Ação Preparatória
Saneamento,Pedreira,Município,Implantação da ETE de Pedreira,6/7/2010," R$ 3.877.800,00 ",Em Obra
Saneamento,Pedreira,Município,Implantação de SES na sede municipal - execução da ETE na sede municipal,fev/07," R$ 7.000.000,00 ",Em Obra
Saneamento,Pedreira,Município,Resíduos Sólidos - construção e equipamentos para galpão de triagem para catadores,ago/08," R$ 401.200,00 ",Em licitação da obra
Saneamento,Peruíbe,Sabesp,"Ampliação do SES das sub-bacias 4B, 5B e 6B, em Balneário Sipel, Flórida e Centro",1/8/2010," R$ 4.000.000,00 ",Em Obra
Saneamento,Piracicaba,Município,"Saneamento integrado e urbanização - tratamento de esgoto, adução e tratamento de água",fev/07," R$ 8.660.800,00 ",Em Obra
Saneamento,Pirapora do Bom Jesus,Município,Resíduos Sólidos - construção e equipamentos para galpão de triagem para catadores,ago/08," R$ 164.600,00 ",Ação Preparatória
Saneamento,Poá,Sabesp,"Ampliação do SES nas Vila Perete, Vila Maria de Maggi e outros - execução de redes coletoras e ligações domiciliares de esgoto",1/8/2010," R$ 1.021.600,00 ",Em Obra
Saneamento,Porto Ferreira,Município,Drenagem - execução de galeria de águas pluviais na área central do município,fev/07," R$ 3.460.700,00 ",Em Obra
Saneamento,Praia Grande,Sabesp,Ampliação do SAA na sede municipal - rede coletora de esgotos,1/8/2010," R$ 28.612.200,00 ",Ação Preparatória
Saneamento,Praia Grande,Sabesp,"Ampliação do SES - bairros Ocian, Tupy, ]Aviação e Quietude",1/8/2010," R$ 21.890.100,00 ",Ação Preparatória
Saneamento,Praia Grande,Sabesp,Ampliação do SES - bairros Sítio do Campo e Antártica,1/8/2010," R$ 14.716.600,00 ",Ação Preparatória
Saneamento,Praia Grande,Sabesp,Ampliação do SES - Jardim Trevo,1/8/2010," R$ 38.700.000,00 ",Ação Preparatória
Saneamento,Praia Grande,Sabesp,Ampliação do SES - Vila Mirim III,1/8/2010," R$ 4.352.000,00 ",Ação Preparatória
Saneamento,Praia Grande,Sabesp,Ampliação do SES na sede municipal - subsistema 3,set/09," R$ 227.353.100,00 ",Em Contratação
Saneamento,Praia Grande,Sabesp,"Ampliação do SES no Bairro Caieiras - estação elevatória de esgotos, emissário e travessias",1/8/2010," R$ 8.301.400,00 ",Em Obra
Saneamento,Praia Grande,Município,Construção e equipamentos para galpão de triagem para catadores (M),ago/08," R$ 398.500,00 ",Ação Preparatória
Saneamento,Praia Grande,Sabesp,Desenvolvimento Institucional - projeto para desenvolvimento e melhoria operacional da Unidade de Negócio Baixada Santista,fev/07," R$ 46.190.500,00 ",Em Execução
Saneamento,Praia Grande,Sabesp,"Implantação do SES - Vila Sonia, Jd. Aprazível e Jd. Aeroclube - rede coletora, estações elevatórias e linhas de recalque",1/8/2010," R$ 27.766.900,00 ",Ação Preparatória
Saneamento,Presidente Epitácio,Município,Drenagem - implantação de galerias de águas pluviais,fev/07," R$ 7.606.300,00 ",Concluída
Saneamento,Presidente Prudente,Sabesp,"Ampliação do SES - reversão da Bacia do Mandaguari, no Jd. Itapura - EEE1 e margem esquerda do Córrego Mandaguari - EEE2",fev/07," R$ 9.243.400,00 ",Em Obra
Saneamento,Presidente Prudente,Município,"Drenagem - canalização dos córregos do Veado, Saltinho, Maracanã, São Matheus e Unesp",fev/07," R$ 60.000.000,00 ",Em Obra
Saneamento,Ribeirão Pires,Sabesp,"Ampliação do SAA nas vilas Suissa, Vila Nova Suissa, Vila Maristela, Vila Zampol e Estância Noblesse - substituição da rede de cimento amianto",1/8/2010," R$ 930.000,00 ",Concluída
Saneamento,Ribeirão Pires,Sabesp,"Ampliação do SES na sede municipal - execução de coletor-tronco, interligações e rede coletora",1/8/2010," R$ 7.887.100,00 ",Em Obra
Saneamento,Ribeirão Pires,Município,Resíduos Sólidos - construção e equipamentos para galpão de triagem para catadores,ago/08," R$ 327.900,00 ",Ação Preparatória
Saneamento,Ribeirão Preto,Município,Drenagem - ampliação do canal do Córrego Ribeirão Preto e Córrego Laureano,6/9/2010," R$ 52.068.300,00 ",Em Contratação
Saneamento,Rio Claro,Claro S/A,Ampliação do SES na sede municipal,set/08," R$ 16.879.300,00 ",Em Obra
Saneamento,Rio Claro,Claro S/A,Ampliação do SES na sede municipal,set/08," R$ 63.729.700,00 ",Em Obra
Saneamento,Rio Claro,Município,Drenagem - macrodrenagem e microdrenagem no Córrego da Servidão,6/9/2010," R$ 19.593.000,00 ",Em Contratação
Saneamento,Rio Claro,Município,Melhoria do SAA na sede municipal - substituição de redes de distribuição,6/7/2010," R$ 10.673.300,00 ",Em Obra
Saneamento,Salesópolis,Município,"Resíduos Sólidos - construção, ampliação e equipamentos para galpão de triagem para catadores",ago/08," R$ 109.000,00 ",Ação Preparatória
Saneamento,Salto,Município,"Remanejamentos operacionais no SAA na sede municipal - reabilitação de redes, automação, serviços de redução de perdas",1/8/2010," R$ 12.000.000,00 ",Em licitação da obra
Saneamento,Santa Bárbara d’Oeste,Município,Ampliação do SAA - construção da ETA VI no Jardim de Souza Queiroz,6/7/2010," R$ 8.666.600,00 ",Em Obra
Saneamento,Santa Bárbara d’Oeste,Município,"Ampliação do SAA - implantação de reservatórios apoiados e elevados nos Bairros Frezarim, Cruzeiro do sul, Vila Rica, Distrito Industrial e Santa Rita",6/7/2010," R$ 9.725.300,00 ",Em Obra
Saneamento,Santa Bárbara d’Oeste,Município,Ampliação do SES - implantação da ETE Toledos II e estação elevatória na Bacia do Ribeirão dos Toledos,set/09," R$ 32.000.000,00 ",Em Contratação
Saneamento,Santa Bárbara d’Oeste,Município,Implantação de SES - rede coletora e estação de tratamento de esgoto no Bairro Cruzeiro do Sul,6/7/2010," R$ 5.711.700,00 ",Em Obra
Saneamento,Santa Isabel,Município,Resíduos Sólidos - construção e equipamentos para galpão de triagem para catadores,ago/08," R$ 164.600,00 ",Ação Preparatória
Saneamento,Santana de Parnaíba,Sabesp,"Ampliação do SAA, com Estação Elevatória de Água Fazendinha, redes primárias e secundárias e linha de recalque",1/8/2010," R$ 5.180.000,00 ",Em licitação da obra
Saneamento,Santana de Parnaíba,Sabesp,Implantação do SAA no Conjunto Habitacional Vila Esperança - redes de distribuição de água,1/8/2010," R$ 351.400,00 ",Concluída
Saneamento,Santo André,Município,Ampliação do SAA - implantação da ETA do Pedroso e adutoras,set/09," R$ 50.229.400,00 ",Em Contratação
Saneamento,Santo André,Município,Ampliação do SES - despoluição da cabeceira do Córrego Guarará com coleta e afastamento de esgotos sanitários,fev/07," R$ 2.466.000,00 ",Em Obra
Saneamento,Santo André,Município,Ampliação do SES - despoluição do Córrego Apiaí com coleta e afastamento de esgotos sanitários,fev/07," R$ 3.680.000,00 ",Em Obra
Saneamento,Santo André,Município,Ampliação do SES - despoluição do Córrego Araçatuba com coleta e afastamento de esgotos sanitários,fev/07," R$ 7.357.300,00 ",Em Obra
Saneamento,Santo André,Município,Ampliação do SES - despoluição do Córrego Guarará com coleta e afastamento de esgotos sanitários,fev/07," R$ 5.630.000,00 ",Em Obra
Saneamento,Santo André,Município,"Ampliação do SES - interceptação de esgoto para tratamento - Córregos Tamanduateí, Comprido e Cassaquera",fev/07," R$ 9.710.000,00 ",Em Obra
Saneamento,Santo André,Sabesp,Ampliação do SES na sede municipal - coletores-tronco,1/8/2010," R$ 10.000.000,00 ",Ação Preparatória
Saneamento,Santo André,Município,"Ampliação do SES na sede municipal - rede coletora, estação elevatória, emissário e tratamento",fev/07," R$ 7.542.500,00 ",Em Obra
Saneamento,Santo André,Município,"Ampliação do SES na sede municipal - redes coletoras, coletores-tronco e interceptores",fev/07," R$ 14.800.000,00 ",Em Obra
Saneamento,Santo André,Município,Desenvolvimento institucional - identificação de lançamento irregulares no sistema de águas pluviais na sede municipal,fev/07," R$ 7.099.800,00 ",Em Execução
Saneamento,Santo André,Município,Desenvolvimento institucional - remanejamento e substituição de rede de água na sede municipal,fev/07," R$ 7.630.000,00 ",Em Execução
Saneamento,Santo André,Município,Drenagem - construção de galerias na Vila Metarlúgica,fev/07," R$ 10.155.000,00 ",Em Obra
Saneamento,Santo André,Município,Drenagem - execução de bacias de amortecimento de cheias e urbanização na Vila Pires,fev/07," R$ 5.243.000,00 ",Em Obra
Saneamento,Santo André,Município,Implantação de SES no Recreio da Borda,fev/07," R$ 10.270.800,00 ",Em Obra
Saneamento,Santo André,Município,Resíduos Sólidos - construção e equipamentos para galpões de triagem para catadores,ago/08," R$ 860.100,00 ",Ação Preparatória
Saneamento,Santo André,Município,Saneamento integrado e urbanização - Complexo Jardim Irene,6/7/2010," R$ 41.185.100,00 ",Em licitação da obra
Saneamento,Santo André,Município,Saneamento integrado e urbanização - Núcleo Espírito Santo,fev/07," R$ 30.800.000,00 ",Em Obra
Saneamento,Santo Antônio de,Município,"Implantação de SES - redes de esgoto e ligações domiciliares nos bairros Vila Rica, Jardim das Nações, Vila Esperança, Posse,  Jardim Denise, Jardim  Bela VistaMaria Helena e",6/7/2010," R$ 2.527.500,00 ",Em Obra
Saneamento,Santos,Sabesp,Ampliação do SES - aquisição de motobombas elétricas para estações elevatórias de esgotos na Baixada Santista,1/8/2010," R$ 1.537.000,00 ",Concluída
Saneamento,Santos,Sabesp,"Ampliação do SES - bairros Chico de Paula, Alemoa e Morros",1/8/2010," R$ 8.628.400,00 ",Em Obra
Saneamento,Santos,Sabesp,Ampliação do SES - programa de recuperação ambiental da Região Metropolitana da Baixada Santista,fev/07," R$ 111.274.400,00 ",Em Obra
Saneamento,Santos,Sabesp,Ampliação do SES - programa de recuperação ambiental da Região Metropolitana da Baixada Santista,fev/07," R$ 661.923.600,00 ",Em Obra
Saneamento,Santos,Sabesp,Implantação do SES - Conjunto Habitacional Dique Vila Gilda,1/8/2010," R$ 1.300.600,00 ",Ação Preparatória
Saneamento,Santos,Sabesp,Implantação do SES - Conjunto Habitacional Vila Alemoa,1/8/2010," R$ 1.354.000,00 ",Ação Preparatória
Saneamento,Santos,Sabesp,Implantação do SES - rede coletora e ligações de esgoto - Conjunto Habitacional São Manoel II,1/8/2010," R$ 686.000,00 ",Ação Preparatória
Saneamento,Santos,Sabesp,Implantação do SES - rede coletora e ligações de esgoto - Conjunto Habitacional São Manoel I,1/8/2010," R$ 1.021.800,00 ",Ação Preparatória
Saneamento,Santos,Município,Resíduos Sólidos - construção e equipamentos para galpão de triagem para catadores,ago/08," R$ 654.400,00 ",Ação Preparatória
Saneamento,São Bernardo do Campo,Sabesp,Ampliação do SAA na sede municipal - Adutora N Vila Marchi - Alvarenga e reservatório Alvarenga,1/8/2010," R$ 13.379.100,00 ",Em Obra
Saneamento,São Bernardo do Campo,Sabesp,Ampliação do SES na Favela Naval - coletor-tronco Couros - 1º trecho a jusante,1/8/2010," R$ 8.000.000,00 ",
Saneamento,São Bernardo do Campo,Município,"Drenagem - canalização do Ribeirão dos Couros e construção de avenidas marginais com reurbanização na divisa de Diadema e São Bernardo do Campo, incluindo a Favela Naval",6/9/2010," R$ 83.230.000,00 ",Em Contratação
Saneamento,São Bernardo do Campo,Município,Drenagem - execução canalização do Córrego Saracantan e urbanização na Avenida Pery Ronchetti,6/9/2010," R$ 26.252.700,00 ",Ação Preparatória
Saneamento,São Bernardo do Campo,Município,Drenagem - execução de canalização do Córrego Chrysler,6/9/2010," R$ 18.374.400,00 ",Em Contratação
Saneamento,São Bernardo do Campo,Município,Drenagem - execução de canalização do Córrego Silvina,6/9/2010," R$ 8.372.500,00 ",Ação Preparatória
Saneamento,São Bernardo do Campo,Município,Drenagem - execução de canalização do Córrego da Linha Camargo e urbanização da avenida marginal entre a Estrada dos Alvarenga e a Avenida Plínio Barreto,6/9/2010," R$ 26.934.400,00 ",Ação Preparatória
Saneamento,São Bernardo do Campo,Município,"Drenagem - execução de canalização do Ribeirão dos Couros, urbanização e recuperação ambiental nos Bairros Piraporinha, Jordanópolis e Via Anchieta",1/8/2010," R$ 29.473.700,00 ",Em Obra
Saneamento,São Bernardo do Campo,Município,Drenagem - recuperação urbana e ambiental da bacia do Córrego dos Alvarengas,fev/07," R$ 15.187.000,00 ",Em Obra
Saneamento,São Bernardo do Campo,Município,Drenagem - recuperação urbana e socioambiental das bacias dos córregos da Mininha e da Colina,fev/07," R$ 15.050.000,00 ",Em Obra
Saneamento,São Bernardo do Campo,Município,Elaboração de projeto de saneamento integrado para recuperação urbana e ambiental de diversas áreas do município,6/7/2010," R$ 1.771.600,00 ",Concluída
Saneamento,São Bernardo do Campo,Município,"Saneamento integrado e urbanização - Jardim Cláudia, Ipê, Bairros Jesus, Alvarenga Peixoto, Pantanal e Divinéia I  e II",6/7/2010," R$ 68.374.600,00 ",Em licitação da obra
Saneamento,São Caetano do Sul,Município,Drenagem - ampliação das galerias de águas pluviais nos Bairros Vila Gerty e Jardim São Caetano,fev/07," R$ 12.000.000,00 ",Em Obra
Saneamento,São Carlos,Município,Drenagem - no Córrego do Gregório e Vale do Tijuco Preto,fev/07," R$ 11.000.000,00 ",Em Obra
Saneamento,São Carlos,Município,Resíduos Sólidos - centro de operações industriais e educação ambiental - Prohab,1/8/2010," R$ 1.170.000,00 ",Ação Preparatória
Saneamento,São João da Boa Vista,Sabesp,Ampliação do SAA e reservação - Bairro Jardim Magalhães,1/8/2010," R$ 714.000,00 ",Em Obra
Saneamento,São João da Boa Vista,Município,Resíduos Sólidos - encerramento do aterro sanitário atual,1/8/2010," R$ 2.136.800,00 ",Ação Preparatória
Saneamento,São João da Boa Vista,Município,Resíduos Sólidos - implantação de aterro sanitário,1/8/2010," R$ 8.483.700,00 ",Ação Preparatória
Saneamento,São José do Rio Preto,Município,"Drenagem - ampliação da canalização do Rio Preto, construção de interceptor de esgotos e execução drenagem superficial entre as ruas Nove de Junho e Ant. Marques Santos",6/9/2010," R$ 21.028.500,00 ",Em Contratação
Saneamento,São José do Rio Preto,Município,"Drenagem - canalização do Rio Preto, interceptor de esgotos e drenagem superficial entre as ruas Assis Brasil e Nove de Junho",6/9/2010," R$ 13.743.800,00 ",Ação Preparatória
Saneamento,São José dos Campos,Município,Drenagem - execução de galeria de águas pluviais no Bairro Jardim Imperial,fev/07," R$ 2.150.000,00 ",Em Obra
Saneamento,São José dos Campos,Município,Estudos e projetos para Saneamento integrado e urbanização da sede municipal,7/7/2010," R$ 3.027.800,00 ",Em Execução
Saneamento,São Paulo e Osasco,Estado,Drenagem - execução de canalização do Ribeirão Vermelho,6/9/2010," R$ 44.381.400,00 ",Ação Preparatória
Saneamento,"São Paulo, São Caetano do Sul, Santo André e Mauá",Estado,Drenagem - execução de canalização do Córrego Oratório,6/9/2010," R$ 80.000.000,00 ",Em Contratação
Saneamento,São Paulo,Sabesp,Ampliação do SAA na sede municipal -adequações para aumento da capacidade de tratamento da ETA Alto da Boa Vista- ABV,1/8/2010," R$ 27.800.000,00 ",Ação Preparatória
Saneamento,São Paulo,Sabesp,"Ampliação do SAA na sede municipal - adutoras, reservatórios e booster",1/8/2010," R$ 43.734.500,00 ",Ação Preparatória
Saneamento,São Paulo,Sabesp,Ampliação do SAA na sede municipal - setorização de Americanópolis,1/8/2010," R$ 25.000.000,00 ",Em Obra
Saneamento,São Paulo,Sabesp,Ampliação do SES - instalação de Coletor - Tronco Center Norte - Tenente Rocha,1/8/2010," R$ 1.923.100,00 ",Em licitação da obra
Saneamento,São Paulo,Sabesp,Ampliação do SES - instalação do coletor- tronco Center Norte -Tenente Rocha,1/8/2010," R$ 1.912.000,00 ",Ação Preparatória
Saneamento,São Paulo,Sabesp,"Ampliação do SES na Bacia PI 18- Uberaba- coletores-tronco, rede coletora e interligações",1/8/2010," R$ 28.000.000,00 ",Ação Preparatória
Saneamento,São Paulo,Sabesp,"Ampliação do SES na Bacia TA 15 - Ipiranga - coletor-tronco, rede coletora e interligações",1/8/2010," R$ 48.000.000,00 ",Em Obra
Saneamento,São Paulo,Sabesp,Ampliação do SES na Favela Paraisópolis,1/8/2010," R$ 14.600.000,00 ",Em Obra
Saneamento,São Paulo,Sabesp,"Ampliação do SES na sede do município - Interceptor ITI-02, coletores secundários, coletor-tronco Mandaqui e estação elevatória de esgotos",1/8/2010," R$ 14.157.000,00 ",Ação Preparatória
Saneamento,São Paulo,Sabesp,Ampliação do SES na sede municipal - Aricanduva - instalação de coletor-tronco,1/8/2010," R$ 17.349.000,00 ",Ação Preparatória
Saneamento,São Paulo,Sabesp,Drenagem - execução de canalização e urbanização do Córrego Pirajussara,1/8/2010," R$ 50.000.000,00 ",Ação Preparatória
Saneamento,São Paulo,Município,Drenagem - execução de galerias de águas pluviais e reservatórios de amortecimento na bacia do Córrego Cordeiro,6/9/2010," R$ 103.490.900,00 ",Ação Preparatória
Saneamento,São Paulo,Município,Drenagem - execução de reservatório de regularização dos pontos baixos dos Bairros Jardim D´Orly e Parque Esmeralda e canalização do córrego Pirajussara,6/9/2010," R$ 48.356.500,00 ",Ação Preparatória
Saneamento,São Paulo,Sabesp,Implantação do SAA - redes e ligações de água - Favela Paraisópolis,1/8/2010," R$ 20.000.000,00 ",Em Obra
Saneamento,São Paulo,Sabesp,Implantação do SAA no Parque Taipas e adjacências - redes primárias e secundárias,1/8/2010," R$ 3.500.000,00 ",Em Obra
Saneamento,São Paulo,Sabesp,Implantação do SES na sede municipal - interceptor ITI-12,1/8/2010," R$ 23.086.000,00 ",Em Obra
Saneamento,São Paulo,Município,Resíduos Sólidos - construção e equipamentos para galpões de triagem para catadores,ago/08," R$ 6.229.500,00 ",Ação Preparatória
Saneamento,São Paulo,Sabesp,"Saneamento integrado - programa de redução de perdas, ETA Rio Grande, Litoral Norte, Vale do Paraíba e da Mantiqueira e Bacia do PCJ",11/9/2010," R$ 1.032.641.900,00 ",Em Obra
Saneamento,São Paulo,Município,Saneamento integrado e urbanização - Bairro Cidade Azul,6/7/2010," R$ 20.019.100,00 ",Em Obra
Saneamento,São Paulo,Município,Saneamento integrado e urbanização - Bairro Jardim Nazaré III,6/7/2010," R$ 40.753.100,00 ",Em Obra
Saneamento,São Paulo,Município,Saneamento integrado e urbanização - Bairro Tiro ao Pombo,6/7/2010," R$ 17.691.000,00 ",Em Obra
Saneamento,São Paulo,Sabesp,Saneamento integrado e urbanização - implantação de redes de distribuição de água e de coletas de esgotos em 201 áreas irregulares em vários bairros de São Paulo,1/8/2010," R$ 80.000.000,00 ",Em Obra
Saneamento,São Paulo,Município,Saneamento integrado e urbanização - jardins Irene II e Rosas e Parque Fernanda I,6/7/2010," R$ 25.752.100,00 ",Em Obra
Saneamento,São Paulo,Município,"Saneamento integrado e urbanização - Jardins Irene II, Rosas e Parque Fernanda I",6/7/2010," R$ 71.469.600,00 ",Em Obra
Saneamento,São Paulo,Estado,Saneamento integrado e urbanização - Pantanal,6/7/2010," R$ 71.127.600,00 ",Em Obra
Saneamento,São Roque,Sabesp,"Ampliação do SAA nos Jardins Marieta. V. Gabriel Piza, Jd. Mosteiro e Jd. N. São Roque - reservatórios, rede, adutoras e estações elevatórias de água tratada",1/8/2010," R$ 2.200.000,00 ",Em Obra
Saneamento,São Sebastião,Sabesp,Ampliação do SES - Barra do Una e Praia do Engenho,1/8/2010," R$ 10.000.000,00 ",Em licitação da obra
Saneamento,São Vicente,Sabesp,"Ampliação do SAA - implantação da ETA do Sistema Produtor Itu no Bairro Samaritá, próximo ao Parque Industrial Imigrantes",fev/07," R$ 6.941.100,00 ",Em Obra
Saneamento,São Vicente,Sabesp,"Ampliação do SES - bairros Cidade Náutica, Vila Jóquei, Vila Nossa Senhora de Fátima, Parque São Vicente, Centro e Catiapoã",1/8/2010," R$ 27.702.600,00 ",Em licitação da obra
Saneamento,São Vicente,Sabesp,"Ampliação do SES - bairros Vila Margarida, Mateo Bei e Esplanada dos Barreiros",1/8/2010," R$ 5.872.200,00 ",Em licitação da obra
Saneamento,São Vicente,Município,Drenagem - Obras de drenagem das Bacias do Catiapoã,6/9/2010," R$ 13.670.000,00 ",Ação Preparatória
Saneamento,São Vicente,Sabesp,Implantação do SES - rede coletora de esgotos - Favela Sá Catarina de Moraes,1/8/2010," R$ 503.600,00 ",Concluída
Saneamento,São Vicente,Sabesp,Implantação do SES - rede coletora e ligações de esgoto - Conjunto Habitacional Canal do Meio,1/8/2010," R$ 207.000,00 ",Em licitação da obra
Saneamento,Sertãozinho,Município,Ampliação do SES - complementação de ETE na Bacia do Córrego Sul,1/8/2010," R$ 2.900.000,00 ",Ação Preparatória
Saneamento,Sorocaba,Município,Desenvolvimento institucional - proteção de adutoras de água bruta,fev/07," R$ 15.000.000,00 ",Em Execução
Saneamento,Sumaré,Município,Ampliação do SES na sede municipal,6/7/2010," R$ 43.356.500,00 ",Em Obra
Saneamento,Sumaré,Município,Ampliação e melhoria do SAA na sede municipal,6/7/2010," R$ 33.544.000,00 ",Em Obra
Saneamento,Sumaré,Município,Drenagem - construção de obras de controle de cheias visando a proteção das populações ribeirinhas,6/9/2010," R$ 20.191.400,00 ",Ação Preparatória
Saneamento,Sumaré,Município,Resíduos Sólidos - construção e equipamentos para galpão de triagem para catadores,ago/08," R$ 437.000,00 ",Ação Preparatória
Saneamento,Suzano,Cab Spat,Ampliação do SAA - ETA Taiaçupeba,1/9/2010," R$ 396.579.600,00 ",Em Obra
Saneamento,Suzano,Município,Resíduos Sólidos - construção e equipamentos para galpão de triagem para catadores,ago/08," R$ 327.900,00 ",Ação Preparatória
Saneamento,Taboão da Serra,Sabesp,Ampliação do SES na sede municipal - Bacia do Ribeirão Pirajussara - PI-03,1/8/2010," R$ 16.000.000,00 ",Ação Preparatória
Saneamento,Taboão da Serra,Sabesp,"Ampliação do SES na sede municipal - coletores-tronco Ponte Alta, Joaquim Cachoeira e Pirajuçara",fev/07," R$ 15.960.000,00 ",Em Obra
Saneamento,Taboão da Serra,Município,Drenagem - execução de canalização do Córrego Joaquim Cachoeira,6/9/2010," R$ 26.977.600,00 ",Ação Preparatória
Saneamento,Taboão da Serra,Município,Drenagem - execução de canalização do Córrego Poá,6/9/2010," R$ 67.578.300,00 ",Em Contratação
Saneamento,Taboão da Serra,Município,"Drenagem - execução de canalização, galerias de águas pluviais e urbanização no Córrego Ponte Alta",1/8/2010," R$ 8.800.000,00 ",Em licitação da obra
Saneamento,Taboão da Serra,Município,Plano municipal de saneamento ambiental,1/8/2010," R$ 500.000,00 ",Em licitação da obra
Saneamento,Taboão da Serra,Município,Resíduos Sólidos - construção de centro de triagem de resíduos da construção civil e pontos de entrega e recolhimento,1/8/2010," R$ 1.260.000,00 ",Em licitação da obra
Saneamento,Taboão da Serra,Município,Resíduos Sólidos - construção e equipamentos para galpão de triagem para catadores,ago/08," R$ 450.700,00 ",Em licitação da obra
Saneamento,Taboão da Serra,Município,"Saneamento integrado e urbanização - Jardins Trianon, Record e São Judas Tadeu",6/7/2010," R$ 35.319.900,00 ",Em Obra
Saneamento,Tupã,Sabesp,Ampliação do SES no Jardim Apoena - remanejamento de linha de recalque da estação elevatória de esgotos,1/8/2010," R$ 682.500,00 ",
